Date, scanner, mean_snr, mean_tsnr
2023-08-09, fmrif3td, 289.46, 200.07
2023-08-01, fmrif3td, 47.88, 38.64
2023-08-10, fmrif3td, 295.84, 185.65
2023-08-11, fmrif3td, 103.57, 82.65
2023-08-12, fmrif3td, 282.77, 190.16
2023-08-13, fmrif3td, 281.53, 196.21
2023-08-14, fmrif3td, 289.72, 194.55
2023-08-15, fmrif3td, 285.1, 194.52
2023-08-16, fmrif3td, 302.12, 195.4
2023-08-17, fmrif3td, 290.5, 205.46
2023-08-18, fmrif3td, 276.18, 195.31
2023-08-20, fmrif3td, 116.06, 108.4
2023-08-21, fmrif3td, 289.74, 198.81
2023-08-21, fmrif3td, 282.08, 197.18
2023-08-22, fmrif3td, 206.99, 142.03
2023-08-23, fmrif3td, 285.13, 194.73
2023-08-24, fmrif3td, 287.56, 202.43
2023-08-25, fmrif3td, 301.93, 202.77
2023-08-27, fmrif3td, 300.94, 192.46
2023-08-28, fmrif3td, 284.4, 195.51
2023-08-29, fmrif3td, 287.79, 193.56
2023-08-30, fmrif3td, 287.35, 197.84
2023-08-31, fmrif3td, 221.12, 164.3
2023-09-01, fmrif3td, 278.76, 197.49
2023-09-03, fmrif3td, 277.2, 190.77
2023-09-05, fmrif3td, 283.91, 198.12
2023-09-06, fmrif3td, 280.95, 190.74
2023-09-08, fmrif3td, 272.89, 196.97
2023-09-12, fmrif3td, 281.4, 183.37
2023-09-13, fmrif3td, 287.02, 178.82
2023-09-14, fmrif3td, 276.22, 198.47
2023-09-15, fmrif3td, 285.89, 193.87
2023-09-16, fmrif3td, 283.94, 179.75
2023-09-17, fmrif3td, 288.3, 180.01
2023-09-18, fmrif3td, 294.09, 194.92
2023-09-19, fmrif3td, 307.16, 209.01
2023-09-20, fmrif3td, 265.39, 187.26
2023-09-21, fmrif3td, 270.29, 199.16
2023-09-22, fmrif3td, 102.78, 113.69
2023-09-25, fmrif3td, 279.49, 185.31
2023-09-26, fmrif3td, 306.31, 194.34
2023-09-27, fmrif3td, 289.7, 189.39
2023-09-28, fmrif3td, 311.08, 195.3
2023-09-29, fmrif3td, 280.19, 188.32
2023-10-01, fmrif3td, 280.89, 191.51
2023-10-02, fmrif3td, 283.98, 186.16
2023-10-03, fmrif3td, 282.41, 192.51
2023-10-04, fmrif3td, 282.86, 194.53
2023-10-05, fmrif3td, 284.39, 193.05
2023-10-06, fmrif3td, 287.75, 193.94
2023-10-10, fmrif3td, 289.11, 188.88
2023-10-11, fmrif3td, 279.04, 182.35
2023-10-12, fmrif3td, 289.14, 197.39
2023-10-13, fmrif3td, 297.27, 215.21
2023-10-17, fmrif3td, 224.7, 145.04
2023-10-18, fmrif3td, 222.96, 136.07
2023-10-19, fmrif3td, 296.65, 198.43
2023-10-20, fmrif3td, 220.41, 147.97
2023-10-23, fmrif3td, 282.75, 180.25
2023-10-24, fmrif3td, 292.23, 193.52
2023-10-25, fmrif3td, 280.52, 183.06
2023-10-26, fmrif3td, 288.37, 194.87
2023-10-27, fmrif3td, 284.14, 187.38
2023-10-30, fmrif3td, 275.29, 179.2
2023-10-31, fmrif3td, 291.06, 188.94
2023-11-01, fmrif3td, 130.54, 105.61
2023-11-02, fmrif3td, 306.22, 197.5
2023-11-04, fmrif3td, 305.92, 190.78
2023-11-08, fmrif3td, 283.81, 186.64
2023-11-12, fmrif3td, 268.96, 185.53
2023-11-13, fmrif3td, 273.31, 185.05
2023-11-14, fmrif3td, 298.87, 189.85
2023-11-15, fmrif3td, 292.81, 184.93
2023-11-16, fmrif3td, 280.02, 184.51
2023-11-17, fmrif3td, 302.32, 203.79
2023-11-20, fmrif3td, 294.18, 185.82
2023-11-21, fmrif3td, 275.66, 186.16
2023-11-22, fmrif3td, 278.71, 182.46
2023-11-24, fmrif3td, 279.64, 184.03
2023-11-27, fmrif3td, 274.59, 177.1
2023-11-28, fmrif3td, 150.17, 114.43
2023-11-29, fmrif3td, 271.58, 176.17
2023-11-30, fmrif3td, 271.67, 182.1
2023-12-01, fmrif3td, 283.92, 185.55
2023-12-04, fmrif3td, 285.13, 186.79
2023-12-08, fmrif3td, 280.01, 192.54
2023-12-10, fmrif3td, 290.12, 183.62
2023-12-11, fmrif3td, 287.86, 185
2023-12-20, fmrif3td, 296.72, 171.76
2023-12-21, fmrif3td, 298.27, 180.03
2023-12-22, fmrif3td, 281.07, 181.09
2023-12-26, fmrif3td, 238.93, 157.94
2023-12-27, fmrif3td, 276.87, 173.85
2023-12-28, fmrif3td, 292.12, 182.84
2023-12-29, fmrif3td, 138.48, 99.52
