Date, scanner, mean_snr, mean_tsnr
2023-11-14, AWP79139, 417.3, 359.05
2023-11-15, AWP79139, 346.19, 308.29
2023-11-16, AWP79139, 424.17, 371.01
2023-11-17, AWP79139, 437.21, 418.92
2023-11-21, AWP79139, 338.47, 347.77
2023-11-22, AWP79139, 401.55, 380.2
2023-11-29, AWP79139, 312.68, 327.43
2023-11-30, AWP79139, 320.29, 317.59
2023-12-01, AWP79139, 381.61, 333.85
2023-12-02, AWP79139, 354.2, 354.68
2023-12-04, AWP79139, 346.02, 357.18
2023-12-07, AWP79139, 317.43, 331.02
2023-12-08, AWP79139, 289.36, 307.69
2023-12-12, AWP79139, 312.51, 309.54
2023-12-20, AWP79139, 307.35, 341.24
2023-12-21, AWP79139, 277.99, 322.4
2023-12-22, AWP79139, 303.14, 324.38
2023-12-26, AWP79139, 284.24, 320.03
2023-12-27, AWP79139, 431.42, 376.71
2023-12-28, AWP79139, 403.73, 370.03
2023-12-29, AWP79139, 377.84, 352.1
2024-01-02, AWP79139, 399.18, 350.14
2024-01-03, AWP79139, 372.69, 357.43
2024-01-04, AWP79139, 420.76, 370.42
2024-01-05, AWP79139, 391.54, 354.75
2024-01-08, AWP79139, 355.71, 117.81
2024-01-09, AWP79139, 20.17, 54.75
2024-01-12, AWP79139, 392.91, 382.72
2024-01-17, AWP79139, 377.35, 353.73
2024-01-18, AWP79139, 320.49, 324.71
2024-01-19, AWP79139, 327.67, 356.55
2024-01-20, AWP79139, 374.19, 375.02
2024-01-22, AWP79139, 367.05, 346.19
2024-01-23, AWP79139, 373.42, 355.29
2024-01-24, AWP79139, 378.11, 348.5
2024-01-26, AWP79139, 257.71, 252.12
2024-01-29, AWP79139, 400.83, 376.73
2024-01-31, AWP79139, 400.73, 382.28
2024-02-01, AWP79139, 398.19, 366.08
2024-02-05, AWP79139, 363.81, 352.26
2024-02-06, AWP79139, 394.44, 367.43
2024-02-07, AWP79139, 390.66, 375.15
2024-02-08, AWP79139, 453.04, 429.64
2024-02-12, AWP79139, 418.66, 357.99
2024-02-13, AWP79139, 419.79, 382.95
2024-02-14, AWP79139, 412.09, 369.71
2024-02-15, AWP79139, 359.35, 340.07
2024-02-16, AWP79139, 390.87, 373.11
2024-02-18, AWP79139, 414.56, 373.64
2024-02-20, AWP79139, 424.06, 377.05
2024-02-21, AWP79139, 395.66, 395.5
2024-02-22, AWP79139, 358.58, 341.94
2024-02-23, AWP79139, 388.34, 369.73
2024-02-24, AWP79139, 416.21, 396.54
2024-02-25, AWP79139, 421.38, 396.81
2024-02-26, AWP79139, 396.21, 380.43
2024-02-27, AWP79139, 288.91, 297.6
2024-02-28, AWP79139, 581.71, 448.89
2024-02-29, AWP79139, 603.81, 450.82
2024-03-01, AWP79139, 569.48, 444.11
2024-03-02, AWP79139, 424.12, 389.52
2024-03-03, AWP79139, 407.64, 402.22
2024-03-04, AWP79139, 405.21, 399.52
2024-03-05, AWP79139, 414.36, 393.48
2024-03-06, AWP79139, 368.69, 361.37
2024-03-07, AWP79139, 428.33, 386.13
2024-03-08, AWP79139, 429.61, 380.42
2024-03-09, AWP79139, 403.73, 352.23
2024-03-11, AWP79139, 423.57, 377.96
2024-03-12, AWP79139, 398.9, 344.91
2024-03-13, AWP79139, 405.47, 353.51
2024-03-15, AWP79139, 384.69, 343.13
2024-03-16, AWP79139, 416.67, 351.35
2024-03-18, AWP79139, 345.59, 372.68
2024-03-19, AWP79139, 347.67, 344.87
2024-03-20, AWP79139, 306.02, 350.87
2024-03-21, AWP79139, 358.77, 350.23
2024-03-22, AWP79139, 362.42, 317.65
2024-03-23, AWP79139, 281.01, 284.76
2024-03-24, AWP79139, 316.85, 330.7
2024-03-25, AWP79139, 295.45, 296.3
2024-03-26, AWP79139, 273.52, 282.95
2024-03-28, AWP79139, 413.41, 372.46
2024-03-29, AWP79139, 328.32, 297.27
2024-03-30, AWP79139, 362.38, 334.31
2024-04-03, AWP79139, 358.91, 304.17
2024-04-04, AWP79139, 348.22, 315.47
2024-04-05, AWP79139, 402.32, 326.44
2024-04-06, AWP79139, 384.49, 340.13
2024-04-07, AWP79139, 385.05, 322.04
2024-04-08, AWP79139, 0, 0
2024-04-08, AWP79139, 398.06, 321.04
2024-04-09, AWP79139, 370.81, 335.53
2024-04-10, AWP79139, 332.59, 316.25
2024-04-11, AWP79139, 314.29, 317.48
2024-04-12, AWP79139, 60.91, 64.18
2024-04-13, AWP79139, 388.37, 347.71
2024-04-14, AWP79139, 387.32, 358.3
2024-04-15, AWP79139, 366.41, 316.7
2024-04-16, AWP79139, 229.86, 270.86
2024-04-17, AWP79139, 437.4, 383.82
2024-04-19, AWP79139, 349.72, 321.21
2024-04-24, AWP79139, 389.99, 358.86
