Date, scanner, mean_snr, mean_tsnr
2023-07-27, fmrif3ta, 383.62, 216.86
2023-07-28, fmrif3ta, 369.96, 180.09
2023-07-29, fmrif3ta, 377.72, 207.01
2023-08-02, fmrif3ta, 341.7, 207.52
2023-08-05, fmrif3ta, 413.32, 183.49
2023-08-06, fmrif3ta, 382.59, 177.53
2023-08-07, fmrif3ta, 373.11, 190.58
2023-08-08, fmrif3ta, 342.74, 175.22
2023-08-01, fmrif3ta, 327.2, 175.97
2023-07-31, fmrif3ta, 334.58, 188.11
2023-08-10, fmrif3ta, 385.85, 195.17
2023-08-11, fmrif3ta, 364.07, 178.01
2023-08-12, fmrif3ta, 436.87, 200.4
2023-08-14, fmrif3ta, 378.15, 192.21
2023-08-15, fmrif3ta, 404.69, 204.04
2023-08-16, fmrif3ta, 387.39, 197.62
2023-08-17, fmrif3ta, 381, 156.7
2023-08-18, fmrif3ta, 374.04, 170.65
2023-08-19, fmrif3ta, 390.29, 165.85
2023-08-20, fmrif3ta, 338.22, 190.44
2023-08-24, fmrif3ta, 412.99, 214.98
2023-08-25, fmrif3ta, 405.22, 203.56
2023-08-27, fmrif3ta, 351.14, 196.38
2023-08-28, fmrif3ta, 384.77, 182.17
2023-08-29, fmrif3ta, 314.81, 157.08
2023-08-30, fmrif3ta, 319.18, 181.25
2023-08-31, fmrif3ta, 347.55, 192.07
2023-09-05, fmrif3ta, 379.54, 196.89
2023-09-06, fmrif3ta, 402.79, 193.74
2023-09-07, fmrif3ta, 362.86, 209.04
2023-09-12, fmrif3ta, 436.62, 216.27
2023-09-13, fmrif3ta, 426.55, 223.25
2023-09-14, fmrif3ta, 444.63, 197.61
2023-09-15, fmrif3ta, 348.25, 162.88
2023-09-16, fmrif3ta, 417.32, 173.39
2023-09-17, fmrif3ta, 397.4, 180.72
2023-09-19, fmrif3ta, 383.51, 204.19
2023-09-21, fmrif3ta, 334.51, 179.24
2023-09-22, fmrif3ta, 372.27, 187.64
2023-09-23, fmrif3ta, 392.64, 210.31
2023-09-24, fmrif3ta, 311.89, 202.01
2023-09-25, fmrif3ta, 332.5, 201.41
2023-09-26, fmrif3ta, 306.34, 156.14
2023-09-27, fmrif3ta, 365.46, 197.76
2023-09-28, fmrif3ta, 330.13, 202.37
2023-09-29, fmrif3ta, 306.8, 179.59
2023-10-02, fmrif3ta, 380.4, 196.89
2023-10-03, fmrif3ta, 376.59, 204.03
2023-10-04, fmrif3ta, 397.95, 213.1
2023-10-05, fmrif3ta, 365.75, 203.61
2023-10-06, fmrif3ta, 380.61, 178.38
2023-10-11, fmrif3ta, 335.37, 187.56
2023-10-12, fmrif3ta, 397.83, 207.88
2023-10-14, fmrif3ta, 369.41, 201.82
2023-10-17, fmrif3ta, 375.18, 196.09
2023-10-18, fmrif3ta, 388.33, 200.49
2023-10-19, fmrif3ta, 389.61, 203.56
2023-10-20, fmrif3ta, 323.13, 195.17
2023-10-21, fmrif3ta, 392.86, 177.81
2023-10-24, fmrif3ta, 337.72, 210.18
2023-10-24, fmrif3tb, 355.05, 216.25
2023-10-25, fmrif3ta, 376.79, 188.91
2023-10-27, fmrif3ta, 327.87, 186.99
2023-10-28, fmrif3ta, 368.95, 196.98
2023-10-30, fmrif3ta, 376.11, 216.88
2023-10-31, fmrif3ta, 390.09, 198.12
2023-11-01, fmrif3ta, 288.57, 200.35
2023-11-02, fmrif3ta, 393.83, 212.64
2023-11-03, fmrif3ta, 388.59, 214.01
2023-11-04, fmrif3ta, 400.98, 197.34
2023-11-06, fmrif3ta, 375.23, 220.78
2023-11-07, fmrif3ta, 372.84, 213.73
2023-11-08, fmrif3ta, 398.89, 229.61
2023-11-09, fmrif3ta, 426.4, 180.67
2023-11-12, fmrif3ta, 350.52, 171.47
2023-11-14, fmrif3ta, 383.25, 195.13
2023-11-15, fmrif3ta, 418.41, 178.67
2023-11-18, fmrif3ta, 359.56, 202.95
2023-11-19, fmrif3ta, 343.97, 185.18
2023-11-21, fmrif3ta, 354.86, 201.33
2023-11-22, fmrif3tb, 416.03, 222.39
2023-11-24, fmrif3ta, 377.48, 201.09
2023-11-27, fmrif3ta, 383.08, 185.51
2023-11-30, fmrif3ta, 397.62, 173.81
2023-12-01, fmrif3ta, 436.1, 223.43
2023-12-02, fmrif3ta, 388.25, 186.35
2023-12-05, fmrif3ta, 420.53, 200.29
2023-12-06, fmrif3ta, 402.1, 184
2023-12-07, fmrif3ta, 335.31, 207.76
2023-12-09, fmrif3ta, 361.45, 200.42
2023-12-10, fmrif3ta, 409.48, 197.46
2023-12-11, fmrif3ta, 371.17, 190.35
2023-12-12, fmrif3ta, 334.68, 181.92
2023-12-13, fmrif3ta, 368.88, 189.22
2023-12-14, fmrif3ta, 429.52, 208.16
2023-12-16, fmrif3ta, 408.37, 202.73
2023-12-18, fmrif3ta, 425.34, 209.04
2023-12-19, fmrif3ta, 388.41, 193.38
2023-12-20, fmrif3ta, 388.87, 189.02
2023-12-21, fmrif3ta, 425.05, 221.24
2023-12-22, fmrif3tb, 378.73, 183.63
2023-12-22, fmrif3ta, 367.43, 169.77
2023-12-27, fmrif3ta, 358.08, 179.33
2023-12-29, fmrif3ta, 413.85, 212.29
2024-01-03, fmrif3ta, 326.79, 184.49
2024-01-04, fmrif3ta, 401.45, 188.73
2024-01-05, fmrif3ta, 379.68, 214.75
